                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 1.0086,                0.80303,                 1.6293,                 0.9812,                      1,                0.99429,                0.87217,                0.60046,                0.50282,                 1.3081,              0.0007724,              0.0007724,              0.0007724
                    126,                0.86064,                0.67605,                  1.515,                0.96832,                      1,                0.99414,                0.88078,                0.56502,                0.47811,                 1.2739,              0.0007625,              0.0007625,              0.0007625
                    127,                0.96057,                0.77761,                 1.6361,                 0.9753,                      1,                0.99443,                0.86788,                0.60747,                 0.4808,                 1.3082,              0.0007526,              0.0007526,              0.0007526
                    128,                0.92981,                0.69359,                 1.5743,                0.99827,                      1,                  0.995,                0.85938,                0.60954,                0.47585,                 1.3051,              0.0007427,              0.0007427,              0.0007427
                    129,                0.85144,                0.68054,                 1.4827,                0.99833,                      1,                  0.995,                0.88282,                0.55013,                 0.4541,                  1.221,              0.0007328,              0.0007328,              0.0007328
                    130,                0.90496,                0.68994,                 1.4991,                0.99845,                      1,                  0.995,                0.87672,                0.58969,                0.45911,                 1.2229,              0.0007229,              0.0007229,              0.0007229
                    131,                0.94951,                0.73878,                 1.5491,                0.99895,                      1,                  0.995,                0.89192,                0.56308,                0.44672,                 1.2015,               0.000713,               0.000713,               0.000713
                    132,                0.88599,                0.68156,                 1.5365,                0.99863,                      1,                  0.995,                 0.8629,                 0.5988,                0.47047,                 1.2848,              0.0007031,              0.0007031,              0.0007031
                    133,                0.88163,                0.71185,                 1.5187,                0.99947,                      1,                  0.995,                0.87759,                0.54485,                0.48394,                 1.2341,              0.0006932,              0.0006932,              0.0006932
                    134,                0.85512,                0.71788,                 1.4946,                      1,                0.99863,                  0.995,                0.87713,                0.56698,                0.49955,                 1.2309,              0.0006833,              0.0006833,              0.0006833
                    135,                0.85168,                0.69347,                 1.5127,                      1,                0.99915,                  0.995,                0.87235,                0.58712,                0.48119,                 1.2305,              0.0006734,              0.0006734,              0.0006734
                    136,                 0.8829,                0.68099,                 1.5015,                0.99908,                      1,                  0.995,                0.88871,                 0.5569,                0.48903,                 1.2216,              0.0006635,              0.0006635,              0.0006635
                    137,                0.86399,                0.68276,                 1.4882,                0.99861,                      1,                  0.995,                0.88267,                0.57565,                0.49193,                 1.2268,              0.0006536,              0.0006536,              0.0006536
                    138,                 0.8186,                0.65177,                 1.4183,                0.99866,                      1,                  0.995,                0.87858,                0.61438,                0.49911,                 1.2653,              0.0006437,              0.0006437,              0.0006437
                    139,                0.94145,                0.75903,                 1.6352,                0.99812,                      1,                  0.995,                0.86354,                0.62847,                0.53589,                 1.3088,              0.0006338,              0.0006338,              0.0006338
                    140,                0.83367,                0.67938,                 1.4625,                0.99881,                      1,                  0.995,                 0.8636,                0.64983,                0.53574,                 1.2949,              0.0006239,              0.0006239,              0.0006239
                    141,                0.91372,                 0.7135,                 1.5002,                0.99856,                      1,                  0.995,                0.89027,                0.56658,                0.49459,                 1.2073,               0.000614,               0.000614,               0.000614
                    142,                0.75292,                0.64561,                 1.3917,                0.99882,                      1,                  0.995,                0.88443,                0.53112,                0.47037,                 1.1679,              0.0006041,              0.0006041,              0.0006041
                    143,                0.85683,                0.71469,                 1.4827,                0.99854,                      1,                  0.995,                0.88923,                0.51747,                0.46792,                 1.1569,              0.0005942,              0.0005942,              0.0005942
                    144,                0.85728,                0.67543,                 1.4819,                0.99859,                      1,                  0.995,                0.89078,                0.54045,                0.47574,                  1.165,              0.0005843,              0.0005843,              0.0005843
                    145,                0.77474,                0.64613,                 1.4291,                0.99875,                      1,                  0.995,                0.88973,                0.55174,                 0.4542,                 1.1824,              0.0005744,              0.0005744,              0.0005744
                    146,                0.77799,                0.60593,                 1.3822,                0.99869,                      1,                  0.995,                0.88835,                0.55637,                0.43013,                 1.1757,              0.0005645,              0.0005645,              0.0005645
